siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
007080021;41.0;2017.0;500 à 999 salariés
016950842;41.0;2017.0;500 à 999 salariés
016980062;42.0;2017.0;1 000 à 1 999 salariés
017251067;41.0;2017.0;500 à 999 salariés
056501711;42.0;2017.0;1 000 à 1 999 salariés
056800659;41.0;2017.0;500 à 999 salariés
058801481;41.0;2017.0;500 à 999 salariés
058801481;41.0;2017.0;500 à 999 salariés
059804062;51.0;2017.0;2 000 à 4 999 salariés
060200128;41.0;2017.0;500 à 999 salariés
060801388;41.0;2017.0;500 à 999 salariés
061500245;41.0;2017.0;500 à 999 salariés
061500245;41.0;2017.0;500 à 999 salariés
064502636;42.0;2017.0;1 000 à 1 999 salariés
066305277;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
067800425;41.0;2017.0;500 à 999 salariés
071502397;42.0;2017.0;1 000 à 1 999 salariés
072801749;41.0;2017.0;500 à 999 salariés
085980357;41.0;2017.0;500 à 999 salariés
086280393;41.0;2017.0;500 à 999 salariés
086280393;42.0;2017.0;1 000 à 1 999 salariés
086380730;41.0;2017.0;500 à 999 salariés
086380730;41.0;2017.0;500 à 999 salariés
086920394;41.0;2017.0;500 à 999 salariés
087280061;41.0;2017.0;500 à 999 salariés
100000017;41.0;2017.0;500 à 999 salariés
110000023;51.0;2017.0;2 000 à 4 999 salariés
110000072;41.0;2017.0;500 à 999 salariés
110000239;41.0;2017.0;500 à 999 salariés
110000262;41.0;2017.0;500 à 999 salariés
110000270;41.0;2017.0;500 à 999 salariés
110000288;41.0;2017.0;500 à 999 salariés
110001013;41.0;2017.0;500 à 999 salariés
110002011;41.0;2017.0;500 à 999 salariés
110006012;41.0;2017.0;500 à 999 salariés
110010014;42.0;2017.0;1 000 à 1 999 salariés
110014016;41.0;2017.0;500 à 999 salariés
110020013;41.0;2017.0;500 à 999 salariés
